,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1997,423,CYP,PCPIPCH,Cyprus,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",13.518,10.745,6.433,5.05,5.992,5.034,1.218,2.679,3.433,3.766,4.503,5.04,6.501,4.889,4.66,2.612,2.582,3.308,2.338,1.136,4.858,1.988,2.781,3.978,1.896,2.026,2.252,2.171,4.384,0.18,2.56,3.48,3.088,0.381,-0.268,-1.54,-1.213,0.679,0.783,0.551,-1.097,1.671,1.05,1.2,1.4,1.7,1.9,2020.0
2087,128,DNK,PCPIPCH,Denmark,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",11.339,11.718,10.146,6.835,6.343,4.662,3.718,3.979,4.525,4.78,6.836,2.167,1.944,0.872,1.841,2.038,2.092,1.933,1.314,2.041,2.751,2.269,2.397,1.961,0.937,1.726,1.844,1.657,3.638,1.042,2.198,2.656,2.354,0.522,0.352,0.226,0.017,1.058,0.709,0.729,0.333,1.4,1.56,1.8,2.0,2.0,2.0,2020.0
2177,321,DMA,PCPIPCH,Dominica,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",23.855,13.267,4.415,4.228,2.13,2.085,3.016,4.816,2.252,7.665,3.194,5.556,5.256,1.568,-0.012,1.293,1.701,2.415,0.956,1.236,0.848,1.556,0.17,1.453,2.394,1.682,2.593,3.238,6.36,0.006,2.81,1.063,1.357,-0.046,0.807,-0.852,0.142,0.296,0.989,1.505,-0.727,1.451,2.0,1.975,2.0,2.0,2.0,2020.0
2222,243,DOM,PCPIPCH,Dominican Republic,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",21.664,7.523,7.643,5.629,20.152,45.336,7.639,13.551,43.864,40.658,50.463,47.079,4.259,5.25,8.261,12.536,5.399,8.297,4.832,6.471,7.723,8.884,5.223,27.45,51.461,4.19,7.573,6.144,10.644,1.442,6.33,8.459,3.694,4.831,2.999,0.837,1.614,3.28,3.564,1.811,3.781,7.806,4.543,4.033,4.033,4.033,4.033,2020.0
2267,248,ECU,PCPIPCH,Ecuador,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",13.049,16.387,16.258,48.434,31.23,27.983,23.03,29.504,58.216,75.648,48.519,48.804,54.341,45.0,27.443,22.886,24.4,30.6,36.1,52.2,96.1,37.674,12.485,7.929,2.741,2.17,3.299,2.276,8.4,5.16,3.554,4.475,5.102,2.722,3.589,3.966,1.728,0.417,-0.224,0.266,-0.339,-0.007,2.138,1.826,1.5,1.3,1.0,2020.0
2312,469,EGY,PCPIPCH,Egypt,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",20.5,10.4,14.9,15.982,17.06,12.108,23.9,25.185,15.185,20.129,21.219,14.737,21.142,11.042,9.046,9.361,7.095,6.167,5.041,3.745,2.849,2.417,2.258,3.412,8.151,8.703,4.292,10.882,11.742,16.161,11.658,11.056,8.692,6.916,10.093,10.988,10.212,23.534,20.851,13.875,5.7,4.502,6.273,7.078,7.095,7.127,7.149,2020.0
2357,253,SLV,PCPIPCH,El Salvador,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",17.359,14.818,11.703,13.121,11.705,22.318,31.945,24.849,19.772,17.651,28.294,14.409,11.221,18.505,10.584,10.03,9.79,4.49,2.549,0.513,2.274,3.745,1.869,2.121,4.452,4.69,4.035,4.58,7.258,0.537,1.179,5.129,1.73,0.758,1.141,-0.731,0.604,1.014,1.088,0.074,-0.37,3.564,2.943,1.604,1.568,1.509,1.411,2020.0
2537,734,SWZ,PCPIPCH,Eswatini,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",18.2,20.056,10.807,11.568,12.94,20.463,13.737,13.377,20.395,7.546,13.092,8.934,7.558,12.023,13.769,12.289,6.425,7.945,7.51,5.862,9.911,7.489,11.869,7.276,3.47,4.895,5.195,8.076,12.657,7.448,4.509,6.107,8.94,5.621,5.681,4.951,7.847,6.221,4.815,2.598,3.872,4.295,4.665,4.604,4.571,4.609,4.621,2020.0
2582,644,ETH,PCPIPCH,Ethiopia,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.437,1.937,7.774,3.569,-0.334,18.403,5.55,-9.146,2.206,9.633,5.206,20.869,21.019,9.99,1.166,13.354,0.919,-6.42,3.6,7.941,0.662,-8.238,1.654,17.762,3.221,11.656,13.558,17.245,44.371,8.479,8.134,33.232,24.132,8.071,7.404,9.569,6.628,10.687,13.833,15.81,20.354,25.203,,,,,,2019.0
2627,819,FJI,PCPIPCH,Fiji,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",14.464,11.2,7.014,6.807,5.271,4.41,1.79,5.664,11.758,6.189,8.191,6.497,4.883,5.207,0.8,2.183,3.01,3.393,5.743,1.983,1.099,4.264,0.722,4.22,2.827,2.303,2.483,4.811,7.726,3.655,3.689,7.282,3.416,2.909,0.528,1.376,3.863,3.348,4.081,1.773,-2.593,1.1,1.7,2.1,2.2,2.2,2.2,2020.0
