,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
3529,536,IDN,PCPIEPCH,Indonesia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",17.111,7.323,10.027,11.969,9.125,4.437,9.15,9.281,5.479,6.234,9.78,10.022,5.061,10.212,9.703,8.924,5.999,10.352,77.611,1.901,9.33,12.579,9.938,5.184,6.385,17.138,6.585,5.794,11.057,2.769,6.963,3.779,3.655,8.078,8.363,3.359,3.021,3.608,3.157,2.586,1.684,1.962,3.437,2.953,2.956,2.96,2.963,2020.0
3709,436,ISR,PCPIEPCH,Israel,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",188.57,101.494,131.504,190.692,444.878,185.175,19.653,16.125,16.397,20.692,17.612,18.037,9.37,11.248,14.452,8.104,10.587,6.988,8.622,1.344,0.018,1.326,6.545,-1.843,1.126,2.475,-0.121,3.386,3.86,3.829,2.711,2.112,1.655,1.831,-0.2,-1.001,-0.202,0.405,0.807,0.601,-0.697,2.467,1.51,1.612,1.6,1.612,1.612,2020.0
3754,136,ITA,PCPIEPCH,Italy,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",21.175,19.507,16.504,14.672,10.725,9.241,5.85,4.692,5.102,6.264,9.309,5.692,4.651,4.444,4.031,5.705,2.864,1.734,1.705,2.095,2.736,2.264,2.995,2.528,2.343,2.048,2.125,2.775,2.362,1.099,2.065,3.727,2.567,0.601,0.0,0.1,0.497,0.989,1.175,0.484,-0.289,1.659,1.788,1.153,1.232,1.324,1.391,2020.0
3799,343,JAM,PCPIEPCH,Jamaica,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",28.699,4.787,7.003,16.657,31.158,23.114,10.722,8.364,8.554,17.177,29.809,80.193,40.194,30.124,26.795,25.567,15.829,9.167,7.851,6.782,5.956,8.546,7.225,13.836,13.709,12.561,5.655,16.819,16.844,10.215,11.744,6.008,8.002,9.473,6.357,3.661,1.725,5.235,2.44,6.219,5.18,6.0,6.5,5.54,5.14,5.04,5.04,2019.0
3844,158,JPN,PCPIEPCH,Japan,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",7.24,4.046,2.442,1.652,2.297,1.649,-0.226,0.754,1.06,2.601,3.621,2.797,0.981,1.101,0.809,-0.575,0.526,2.078,0.535,-1.013,-0.766,-0.91,-0.536,-0.308,0.527,-0.76,0.368,0.512,1.073,-2.0,-0.255,-0.302,-0.245,1.397,2.551,0.197,0.266,0.547,0.862,0.503,-0.925,0.712,0.35,0.853,0.883,0.963,0.963,2020.0
3979,664,KEN,PCPIEPCH,Kenya,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",13.1,19.318,13.73,9.598,10.916,10.231,4.255,9.556,13.578,13.546,23.134,14.473,33.668,54.7,6.612,6.89,10.664,4.256,5.186,8.05,8.795,2.923,3.464,4.67,11.792,4.912,7.316,5.6,15.478,8.016,5.765,18.934,3.2,7.149,6.019,8.007,6.35,4.496,5.711,5.82,5.761,5.2,5.0,5.038,5.038,5.0,5.0,2020.0
4069,542,KOR,PCPIEPCH,Korea,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",32.202,13.695,4.833,1.963,2.448,3.015,1.389,6.053,7.182,5.071,9.338,9.251,4.458,5.801,5.568,4.753,4.926,6.574,3.966,1.355,2.78,3.163,3.734,3.419,3.035,2.619,2.089,3.607,4.139,2.801,3.034,4.159,1.426,1.143,0.833,1.132,1.337,1.408,1.321,0.738,0.523,2.7,1.4,1.6,1.8,2.0,2.0,2020.0
4159,443,KWT,PCPIEPCH,Kuwait,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",8.64,7.022,8.458,1.968,1.501,0.915,0.488,0.694,2.345,3.302,2.356,15.637,-0.881,2.721,2.973,2.1,2.416,0.653,1.197,3.746,0.428,2.886,-0.935,0.874,2.599,4.455,3.638,7.539,9.025,2.069,6.01,3.074,4.368,2.656,3.044,3.028,2.613,1.044,0.442,1.233,2.959,3.195,3.0,3.0,3.0,3.0,3.0,2020.0
4474,672,LBY,PCPIEPCH,Libya,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",13.704,13.681,12.034,11.509,10.55,6.224,3.711,3.766,3.811,6.643,10.834,11.7,9.45,7.474,10.671,8.342,0.851,3.253,3.816,1.665,-6.609,-10.28,-7.268,-1.259,-3.5,9.812,2.741,7.332,9.846,0.328,3.325,26.646,-3.674,1.704,7.138,16.9,24.013,28.047,-1.196,0.214,2.817,21.11,8.0,6.5,5.5,5.0,4.95,2020.0
4564,137,LUX,PCPIEPCH,Luxembourg,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",6.994,8.041,10.425,8.022,3.304,4.138,-1.419,0.653,1.917,3.925,4.359,2.599,2.904,3.608,1.803,1.258,1.32,1.5,0.418,2.393,4.326,0.974,2.825,2.466,3.519,3.513,2.271,4.333,0.721,2.499,3.081,3.376,2.433,1.503,-1.0,0.808,1.543,1.52,1.837,1.785,-0.356,1.3,1.7,1.8,1.9,1.9,1.9,2020.0
